Job_Number,Jobs_Gross_Margin_Percentage,Jobs_Gross_Margin,Labor_Pay,Labor_Burden,Material_Costs,PO_Costs,Labor,Equipment_Costs,Jobs_Total,Materials__Equip__POs_As_percent_of_Sales,Labor_Burden_as_percent_of_Sales,Labor_Pay_as_percent_of_Sales,Sold_Hours,Total_Hours_Worked,Total_Technician_Paid_Time,NonBillable_Hours,Jobs_Total_Costs,Is_Lead,Opportunity,Warranty,Recall,Converted,Jobs_Subtotal,Pricebook_Price,Income,Estimates,Jobs_Estimate_Sales_Subtotal,Jobs_Estimate_Sales_Installed,Materials__Equipment__PO_Costs,Lead Generated From Source
57411652,0.4858,140.89,71.49,73.24,4.38,0,290,0,290,1.51,25.26,24.65,1.01,1.28,1.87,0.27,149.11,0,1,0,0,1,290,484.34,290,3,290,290,4.38,Marketed Lead
53714124,0.6592,397.51,114.18,91.31,0,0,603,0,603,0,15.14,18.94,1,1.6,2.72,0.6,205.49,0,1,0,0,1,603,713.65,603,2,603,603,0,Marketed Lead
53716950,0.6308,594.34,170.92,154.09,22.9,0,942.25,0,942.25,1.82,12.25,13.58,2.25,2.7,3.37,0.45,347.91,0,1,0,0,1,942.25,1266.92,942.25,2,1258.25,942.25,22.9,Marketed Lead
53724102,0,-150.05,79.66,70.39,0,0,0,0,0,0,0,0,0,1.23,2.07,1.23,150.05,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
53758148,0.5486,361.03,111.07,135.07,0,50.88,708.05,0,658.05,7.73,20.53,16.88,1.5,2.37,2.9,0.87,297.02,0,1,0,0,1,658.05,1277.5,658.05,1,658.05,658.05,50.88,Marketed Lead
53776964,0.6982,271.96,103.34,14.2,0,0,339.75,0,339.75,0,4.18,30.42,1,2.07,2.58,1.07,117.54,0,1,0,0,1,339.75,666.02,389.5,2,339.75,339.75,0,Marketed Lead
53777131,0.8589,840.53,49.33,5.38,83.4,0,978.64,0,978.64,8.52,0.55,5.04,2.25,0.78,1.23,-1.47,138.11,0,1,0,0,1,978.64,1653.06,978.64,1,978.64,978.64,83.4,Marketed Lead
53779289,-9.1147,-118.49,61.92,65.63,3.94,0,0,0,0,0,0,0,0,1.15,1.62,1.15,131.49,0,1,0,0,0,0,0,13,0,0,0,3.94,Marketed Lead
53824377,0.6458,526.71,98.07,133.16,3.82,53.88,815.64,0,815.64,7.07,16.33,12.02,4.25,2.33,2.33,-1.92,288.93,0,1,0,0,1,815.64,1726.08,815.64,1,815.64,815.64,57.7,Marketed Lead
53826517,-1.591,-77.96,68.94,58.02,0,0,49,0,49,0,0,0,0,1.02,1.8,1.02,126.96,0,1,0,0,0,49,99,49,0,0,0,0,Marketed Lead
53826886,0,-105.97,81.99,23.98,0,0,0,0,0,0,0,0,0,1.17,1.88,1.17,105.97,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
79079928,0,-249.59,110.01,129.36,10.22,0,199,0,199,1.8,22.78,19.37,3.89,2.27,2.73,-1.62,249.59,0,1,0,0,1,199,330.59,0,4,567.89,199,10.22,Marketed Lead
79287798,0.7832,948.53,54.68,45.66,162.28,0,1311.15,0,1311.15,0,0,0,1.25,0.8,1.38,-0.45,262.62,0,1,0,0,1,1311.15,1429.88,1211.15,0,0,0,162.28,Marketed Lead
57440728,0.5563,247.54,75.65,65.63,56.18,0,445,0,445,0,0,0,1,1.15,1.8,0.15,197.46,0,1,0,0,1,445,602.75,445,0,0,0,56.18,Marketed Lead
57443536,0.4466,791.89,102.13,124.6,0,754.63,2022.25,0,1972.25,0,0,0,2,2.18,2.67,0.18,981.36,0,1,0,0,1,1972.25,2894.1,1773.25,1,0,0,754.63,Marketed Lead
57444940,0,-83.96,38.3,45.66,0,0,199,0,199,0,0,0,0,0.8,1,0.8,83.96,0,1,0,0,1,199,0,0,0,0,0,0,Marketed Lead
57450824,0,-250.9,111.08,139.82,0,0,0,0,0,0,0,0,2,2.45,2.9,0.45,250.9,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
53829325,0.4124,531.09,252.14,308.18,0,196.34,1287.75,0,1287.75,0,0,0,1,5.4,6.58,4.4,756.66,0,1,0,0,1,1287.75,1975.92,1287.75,0,0,0,196.34,Marketed Lead
53834056,0.3925,82.52,63.04,60.87,3.82,0,210.25,0,210.25,1.81,28.95,29.98,0.5,1.07,1.5,0.57,127.73,0,1,0,0,1,210.25,323.01,210.25,2,210.25,210.25,3.82,Marketed Lead
53837914,0.7585,567.38,102.62,78,0,0,748,0,748,0,10.43,13.72,1.75,1.37,2.07,-0.38,180.62,0,1,0,0,1,748,971.39,748,3,748,748,0,Marketed Lead
53850568,0.4737,101.36,59.37,53.27,0,0,214,0,214,0,0,0,0.25,0.93,1.55,0.68,112.64,0,1,0,0,1,214,322.01,214,1,0,0,0,Marketed Lead
53880030,-0.2834,-112.77,236.82,253.96,19.83,0,497.35,0,497.35,3.99,51.06,47.62,0.75,4.45,5.3,3.7,510.62,0,1,0,0,1,497.35,613.86,397.85,2,497.35,497.35,19.83,Marketed Lead
53897427,0.3557,1341.19,794.57,386.91,338.11,99.38,3870.15,810,3770.15,33.09,10.26,21.08,3.25,7.68,10.48,4.43,2428.96,0,1,0,0,1,3770.15,4899.02,3770.15,2,3770.15,3770.15,1247.49,Marketed Lead
53902543,0.7451,450.12,91.07,33.79,29.12,0,654.1,0,604.1,4.45,5.17,13.92,2.25,1.63,2.17,-0.62,153.98,0,1,0,0,1,604.1,557.99,604.1,2,654.1,654.1,29.12,Marketed Lead
53904479,0.6991,268.27,51.14,50.41,13.93,0,383.75,0,383.75,3.63,13.14,13.33,0.75,0.88,1.22,0.13,115.48,0,1,0,0,1,383.75,529.25,383.75,3,383.75,383.75,13.93,Marketed Lead
53932238,0,-70.51,44.83,25.68,0,0,0,0,0,0,0,0,0,0.45,1.07,0.45,70.51,0,1,0,0,0,0,266,0,0,0,0,0,Marketed Lead
57474905,0,-395.29,197.34,197.95,0,0,0,0,0,0,0,0,0,3.35,4.53,3.35,395.29,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
57476292,0.8559,279.17,42.66,2.98,1.38,0,326.19,0,326.19,0.42,0.91,13.08,0.5,0.43,1.07,-0.07,47.02,0,1,0,0,1,326.19,518.02,326.19,1,326.19,326.19,1.38,Marketed Lead
57476679,-0.6162,-25.57,60.66,6.41,0,0,0,0,0,0,0,0,0,0.93,1.52,0.93,67.07,0,0,0,0,0,0,0,41.5,1,0,0,0,Marketed Lead
57478617,0.0912,10.94,51.7,55.17,2.19,0,145,0,120,0,0,0,0.51,0.97,1.35,0.46,109.06,0,1,0,0,1,120,242.17,120,0,0,0,2.19,Marketed Lead
80516474,0.7635,399.14,99.81,23.8,0,0,572.75,0,522.75,0,2.67,11.21,1,1.22,1.68,0.22,123.61,0,1,0,0,1,522.75,636.39,522.75,1,890.68,0,0,Marketed Lead
80886897,0.7973,2414.61,247.3,293.48,48.66,24.41,3028.46,0,3028.46,2.41,9.69,8.17,3.46,4.97,5.83,1.51,613.85,0,1,0,0,1,3028.46,3562.89,3028.46,2,3028.46,3028.46,73.07,Marketed Lead
80967574,0.3376,222.7,170.44,239.31,27.24,0,875.7,0,825.7,4.35,38.19,27.2,5.39,4.05,4.45,-1.34,437,0,1,0,0,1,825.7,1067.89,659.7,4,626.7,626.7,27.24,Marketed Lead
55054933,0.5666,724.81,241.62,257.77,22.54,32.51,1478.25,0,1478.25,3.72,17.44,16.35,3.25,4.52,5.02,1.27,554.44,0,1,0,0,1,1478.25,2455.73,1279.25,3,1478.25,1478.25,55.05,Marketed Lead
55069124,0,-397.76,170.43,227.33,0,0,0,0,0,0,0,0,0,3.98,4.45,3.98,397.76,0,0,1,0,0,0,0,0,1,0,0,0,Marketed Lead
55069137,0,-42.26,39.18,3.08,0,0,0,0,0,0,0,0,0.5,0.15,0.9,-0.35,42.26,0,1,0,0,0,0,0,0,2,0,0,0,Marketed Lead
55074372,0.5921,132.63,74.25,17.12,0,0,224,0,224,0,0,0,0.5,0.3,1.77,-0.2,91.37,0,1,0,0,1,224,451.73,224,1,0,0,0,Marketed Lead
85258893,0.4868,365.81,194.25,137.88,53.5,0,700.37,0,751.44,5.31,13.69,19.29,1.33,2.33,2.35,1,385.63,0,1,0,0,1,751.44,946.49,751.44,3,1007.24,240.09,53.5,Marketed Lead
85295218,-1.1931,-59.36,79.83,29.28,0,0,0,0,0,0,0,0,1.89,1.62,1.98,-0.27,109.11,0,0,0,0,0,0,330.59,49.75,3,0,0,0,Marketed Lead
85331186,0.6565,124.45,41.33,23.78,0,0,189.56,0,189.56,0,9.97,17.32,0.25,0.42,1,0.17,65.11,0,1,0,0,1,189.56,223.01,189.56,2,238.56,189.56,0,Marketed Lead
53932509,0,-437.96,189.58,244.45,3.93,0,498,0,498,0.79,49.09,38.07,0,4.28,4.95,4.28,437.96,0,1,0,0,1,498,0,0,3,498,498,3.93,Marketed Lead
53935832,0.4768,162.94,99.47,77.04,2.26,0,341.71,0,341.71,0.66,22.55,29.11,0.5,1.35,2.37,0.85,178.77,0,1,0,0,1,341.71,409.12,341.71,2,341.71,341.71,2.26,Marketed Lead
53936218,0.7765,595.17,100.87,36.55,0,33.91,766.5,0,766.5,4.42,4.77,13.16,2.75,1.77,2.4,-0.98,171.33,0,1,0,0,1,766.5,1202.76,766.5,3,766.5,766.5,33.91,Marketed Lead
53951812,-1.9556,-97.29,72.85,74.19,0,0,0,0,0,0,0,0,0,1.3,1.73,1.3,147.04,0,1,0,0,0,0,0,49.75,0,0,0,0,Marketed Lead
53952497,0.5933,480.06,90.64,70.98,167.52,0,809.2,0,809.2,20.7,8.77,11.2,1.75,1.4,2.37,-0.35,329.14,0,1,0,0,1,809.2,1143.81,809.2,2,809.2,809.2,167.52,Marketed Lead
53953666,0,-49.22,38.53,10.69,0,0,0,0,0,0,0,0,0,0.52,0.92,0.52,49.22,0,0,1,1,0,0,0,0,0,0,0,0,Marketed Lead
57479236,0.7497,338.84,62.56,46.61,3.99,0,452,0,452,0.88,10.31,13.84,0.76,0.82,1.63,0.06,113.16,0,1,0,0,1,452,706.13,452,2,452,452,3.99,Marketed Lead
57487558,0,-61.74,35.11,26.63,0,0,199,0,199,0,13.38,17.64,0.01,0.47,0.92,0.46,61.74,0,1,0,0,1,199,0,0,3,199,199,0,Marketed Lead
57491268,0.8578,305.61,32.57,18.07,0,0,356.25,0,356.25,0,5.07,9.14,1,0.32,0.52,-0.68,50.64,0,1,0,0,1,356.25,427.51,356.25,1,356.25,356.25,0,Marketed Lead
57504857,0.519,1354.18,159.71,71.04,284.3,0,2609.2,739.98,2609.2,39.26,2.72,6.12,3.5,3.43,3.8,-0.07,1255.02,0,1,0,0,1,2609.2,3432,2609.2,2,2609.2,2609.2,1024.28,Marketed Lead
57521871,0.4604,214.55,117.68,123.65,10.12,0,466,0,466,2.17,26.53,25.25,1.25,2.17,2.8,0.92,251.45,0,1,0,0,1,466,645.85,466,3,466,466,10.12,Marketed Lead
57538630,0.2468,67.76,0,197.95,0,8.84,274.55,0,274.55,3.22,72.1,0,2.51,3.35,4.52,0.84,206.79,0,1,0,0,1,274.55,439.29,274.55,4,274.55,274.55,8.84,Marketed Lead
57543259,0.0839,17.95,95.12,100.93,0,0,214,0,214,0,47.16,44.45,0.26,1.78,2.48,1.52,196.05,0,1,0,0,1,214,322.01,214,3,214,214,0,Marketed Lead
57547090,0.1494,32.87,91.06,96.07,0,0,220,0,220,0,0,0,1.25,1.68,2.17,0.43,187.13,0,1,0,0,1,220,299.55,220,3,0,0,0,Marketed Lead
81054857,-1.4131,-69.24,57.18,61.06,0,0,49,0,49,0,124.61,116.69,0,1.03,1.38,1.03,118.24,0,1,0,0,0,49,99,49,1,49,49,0,Marketed Lead
81062652,0.7806,1934.11,130.68,177.73,235.19,0,2826.71,0,2726.71,8.63,6.52,4.79,4.25,2.93,3.28,-1.32,543.6,0,1,0,0,1,2726.71,3193.73,2477.71,3,2726.71,2726.71,235.19,Marketed Lead
85335930,0.7203,300.84,42.45,46.45,27.92,0,467.66,0,417.66,0,0,0,1.08,0.77,1.02,-0.31,116.82,0,1,0,0,1,417.66,570.03,417.66,0,0,0,27.92,Marketed Lead
85397155,0.7246,187.5,55.1,13.04,3.12,0,308.76,0,258.76,1.2,5.02,21.21,0.83,0.67,1.33,-0.16,71.26,0,1,0,0,1,258.76,531.55,258.76,1,259.76,259.76,3.12,Marketed Lead
85398788,-1.3115,-65.25,81.84,22.94,10.22,0,0,0,0,0,0,0,1.89,1.27,2.03,-0.62,115,0,0,0,0,0,0,330.59,49.75,0,0,0,10.22,Marketed Lead
55076425,0,-51,42.03,8.97,0,0,0,0,0,0,0,0,0.5,0.43,1,-0.07,51,0,1,0,0,0,0,0,0,1,0,0,0,Marketed Lead
55082441,-0.5722,-28.04,46.6,30.44,0,0,49,0,49,0,62.12,95.1,0,0.53,1.22,0.53,77.04,0,1,0,0,0,49,99,49,3,49,49,0,Marketed Lead
55117523,-0.6487,-129.58,146.81,180.72,1.8,0,199.75,0,199.75,0.9,90.47,73.5,0.26,3.17,3.83,2.91,329.33,0,1,0,0,0,199.75,372.36,199.75,3,199.75,199.75,1.8,Marketed Lead
55144260,0.3049,51.54,65.15,52.31,0,0,169,0,169,0,0,0,0.25,0.92,1.55,0.67,117.46,0,1,0,0,1,169,260,169,0,0,0,0,Marketed Lead
85415925,-0.2567,-41.32,95.06,92.26,15,0,161,0,161,9.32,57.31,59.04,0.83,1.62,2.3,0.79,202.32,0,1,0,0,1,161,161,161,1,161,161,15,Marketed Lead
85471345,0,-47.05,30.62,7.07,9.36,0,0,0,0,0,0,0,0,0.12,0.73,0.12,47.05,0,0,0,0,0,0,0,0,0,0,0,9.36,Marketed Lead
53955569,0,-120.24,64.47,55.77,0,0,0,0,0,0,0,0,0,1.1,1.68,1.1,120.24,0,1,0,0,0,0,0,0,3,0,0,0,Marketed Lead
53974858,0,-67.19,43.41,23.78,0,0,0,0,0,0,0,0,0,0.42,1.13,0.42,67.19,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
53988676,0.582,1526.61,203.15,247.3,164.4,0,2623.1,481.63,2623.1,0,0,0,4,4.33,4.83,0.33,1096.49,0,1,0,0,1,2623.1,602.75,2623.1,1,0,0,646.03,Marketed Lead
54022753,-0.1405,-19.25,73.55,78.95,3.82,0,137.06,0,137.06,0,0,0,0.5,1.38,1.75,0.88,156.31,0,1,0,0,1,137.06,224.01,137.06,0,0,0,3.82,Marketed Lead
79321847,0.555,2468.1,667.81,760.87,2.01,547.95,4446.74,0,4446.74,12.37,17.11,15.02,5.75,12.93,14.5,7.18,1978.64,0,1,0,0,1,4446.74,5369.68,4446.74,5,4446.74,4446.74,549.96,Marketed Lead
79358583,0.641,2074.43,343.71,466.69,0,351.2,2985.24,0,2985.24,10.85,14.42,10.62,5.5,7.82,8.5,2.32,1161.6,0,1,1,0,1,2985.24,4045.04,3236.03,3,3236.03,3236.03,351.2,Marketed Lead
79400965,-0.271,-13.28,37.55,24.73,0,0,49,0,49,0,0,0,0,0.43,0.95,0.43,62.28,0,1,0,0,0,49,99,49,2,0,0,0,Marketed Lead
57549411,0.6102,378.7,110.68,113.19,9.6,8.48,620.65,0,620.65,2.91,18.24,17.83,2.26,1.98,2.63,-0.28,241.95,0,1,0,0,1,620.65,1104.89,620.65,4,620.65,620.65,18.08,Marketed Lead
57549428,0.6048,489.39,122.59,53.1,100.87,43.24,809.2,0,809.2,17.81,6.56,15.15,2,2.57,2.92,0.57,319.81,0,1,0,0,1,809.2,1161.44,809.2,3,809.2,809.2,144.11,Marketed Lead
57550532,-0.2438,-24.87,70.75,56.12,0,0,102,0,102,0,55.02,69.36,0.25,0.98,1.68,0.73,126.87,0,1,0,0,0,102,161,102,6,102,102,0,Marketed Lead
57552068,0.8041,2179.67,210.15,85.52,235.46,0,2710.8,0,2710.8,8.69,3.15,7.75,3.5,4.13,5,0.63,531.13,0,1,0,0,1,2710.8,3333,2710.8,1,2710.8,2710.8,235.46,Marketed Lead
57552100,0.2372,226,264.09,336.71,-77.9,203.85,952.75,0,952.75,13.22,35.34,27.72,4,5.9,6.28,1.9,726.75,0,1,0,0,1,952.75,1653.78,952.75,1,952.75,952.75,125.95,Marketed Lead
57552268,0.4967,502.41,187.73,229.23,92.13,0,1011.5,0,1011.5,9.11,22.66,18.56,3.01,4.02,4.47,1.01,509.09,0,1,0,0,1,1011.5,1613.15,1011.5,2,1011.5,1011.5,92.13,Marketed Lead
57575364,0.1469,21.3,60.64,60.87,2.19,0,145,0,145,0,0,0,0.5,1.07,1.58,0.57,123.7,0,1,0,0,1,145,242.17,145,1,0,0,2.19,Marketed Lead
57577170,0,-77.42,44.13,33.29,0,0,0,0,0,0,0,0,2,0.58,1.05,-1.42,77.42,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
57583188,-4.26,-105.78,64.79,61.83,3.99,0,0,0,0,0,0,0,0.01,1.08,1.68,1.07,130.61,0,0,0,0,0,0,0,24.83,3,0,0,3.99,Marketed Lead
57598062,0,-127,72.78,54.22,0,0,0,0,0,0,0,0,2,0.95,1.9,-1.05,127,0,1,0,0,0,0,0,0,1,0,0,0,Marketed Lead
57599181,0.4816,521.64,225.56,283.45,52.41,0,1133.05,0,1083.05,0,0,0,4.75,4.97,5.37,0.22,561.41,0,1,0,0,1,1083.05,2167.75,1083.05,0,0,0,52.41,Marketed Lead
57602523,0.2253,33.8,81.96,34.24,0,0,150,0,150,0,22.83,54.64,0.75,0.6,1.3,-0.15,116.2,0,1,0,0,1,150,150,150,3,150,150,0,Marketed Lead
57610313,0.3873,65.46,58.84,44.7,0,0,169,0,169,0,26.45,34.82,0.25,0.78,1.4,0.53,103.54,0,1,0,0,1,169,260,169,3,169,169,0,Marketed Lead
57611332,0,-136.99,72.77,64.22,0,0,199,0,199,0,0,0,0.01,1.27,1.9,1.26,136.99,0,1,0,0,1,199,0,0,5,0,0,0,Marketed Lead
57628010,0,-71.63,46.9,24.73,0,0,0,0,0,0,0,0,0,0.43,1.22,0.43,71.63,0,0,0,0,0,0,0,0,0,0,0,0,Marketed Lead
54023908,0.4962,851.54,344.65,449.9,70,0,1766.09,0,1716.09,3.51,22.58,17.3,6.25,7.88,8.2,1.63,864.55,0,1,0,0,1,1716.09,3311.33,1716.09,1,1992.17,1027.37,70,Marketed Lead
54024661,0.3923,87.87,71.45,64.68,0,0,224,0,224,0,28.87,31.9,0.5,1.13,1.7,0.63,136.13,0,1,0,0,1,224,451.73,224,1,224,224,0,Marketed Lead
54034503,0,-144.89,72.6,72.29,0,0,199,0,199,0,0,0,0,1.27,1.88,1.27,144.89,0,1,0,0,1,199,0,0,1,0,0,0,Marketed Lead
54054724,0.6059,631.02,161.82,199.75,48.92,0,1041.5,0,1041.5,4.7,19.18,15.54,1,3.5,3.85,2.5,410.49,0,1,0,0,1,1041.5,1478.6,1041.5,3,1041.5,1041.5,48.92,Marketed Lead
54055110,0,-163.51,70.75,47.56,0,45.2,0,0,0,0,0,0,0,0.83,1.68,0.83,163.51,0,0,1,0,0,0,0,0,1,0,0,45.2,Marketed Lead
81069254,0,-155.13,70.85,61.83,22.45,0,0,0,0,0,0,0,0.75,1.08,1.85,0.33,155.13,0,0,0,0,0,0,0,0,2,0,0,22.45,Marketed Lead
81093897,0.5677,296.2,108.78,115.09,1.71,0,521.78,0,521.78,0.33,22.06,20.85,0.75,2.02,2.73,1.27,225.58,0,1,0,0,1,521.78,613.86,521.78,3,521.78,521.78,1.71,Marketed Lead
81105522,-0.8257,-40.46,56.17,33.29,0,0,49,0,49,0,0,0,0,0.58,1.47,0.58,89.46,0,0,0,0,0,49,99,49,0,0,0,0,Marketed Lead
81127671,0.6109,1179.64,140.3,133.3,11.98,465.68,1930.9,0,1930.9,24.74,6.9,7.27,1.5,2.2,3.08,0.7,751.26,0,1,0,0,1,1930.9,2271.65,1930.9,3,1930.9,1930.9,477.66,Marketed Lead
81148188,0.6906,162.6,31,41.85,0,0,235.45,0,235.45,0,17.78,13.17,0.5,0.73,0.75,0.23,72.85,0,1,0,0,1,235.45,277,235.45,1,235.45,235.45,0,Marketed Lead
81209599,0,-1303.48,611.59,462.33,216.53,13.03,0,0,0,0,0,0,2,8.1,11.82,6.1,1303.48,0,1,1,0,1,0,0,0,1,0,0,229.56,Marketed Lead
85519473,0.7263,400.3,73.71,66.58,10.59,0,551.18,0,551.18,1.92,12.08,13.37,1.66,1.17,1.78,-0.49,150.88,0,1,0,0,1,551.18,648.45,551.18,3,551.18,551.18,10.59,Marketed Lead
85554687,0,-44.41,33.6,10.81,0,0,49,0,0,0,0,0,0,0.62,0.77,0.62,44.41,0,0,0,0,0,0,99,0,0,0,0,0,Marketed Lead
85558281,0.3481,76.09,74.95,67.53,0,0,218.57,0,218.57,0,0,0,0.25,1.18,1.72,0.93,142.48,1,1,0,0,1,218.57,223.01,218.57,4,0,0,0,Service
85606899,0,-68.23,53.33,14.9,0,0,49,0,0,0,0,0,0,0.85,1.22,0.85,68.23,0,0,0,0,0,0,99,0,0,0,0,0,Marketed Lead
85610743,-1.6327,-80,100.08,28.92,0,0,49,0,49,0,59.03,204.24,0,1.65,2.28,1.65,129,0,0,0,0,0,49,99,49,1,49,49,0,Marketed Lead
85617777,0.6977,1449.91,203.89,249.21,109.23,66.03,2078.26,0,2078.26,8.43,11.99,9.81,5.24,4.37,4.93,-0.87,628.35,0,1,0,0,1,2078.26,2658.21,2078.26,5,2078.26,2078.26,175.26,Marketed Lead
85665777,0,-105.17,54.76,50.41,0,0,0,0,0,0,0,0,0,0.88,0.88,0.88,105.17,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
85694489,0,-36.38,26.87,9.51,0,0,0,0,0,0,0,0,0,0.17,0.65,0.17,36.38,0,1,0,0,0,0,0,0,0,0,0,0,Marketed Lead
85695768,-0.5446,-26.68,65.75,9.93,0,0,49,0,49,0,0,0,0,0.57,1.5,0.57,75.68,0,0,0,0,0,49,99,49,0,0,0,0,Marketed Lead
85722683,0.5129,86.14,58.44,23.37,0,0,167.95,0,167.95,0,0,0,0.83,1.33,1.33,0.5,81.81,0,1,0,0,1,167.95,161,167.95,0,0,0,0,Marketed Lead
85736580,0.2878,62.44,97.13,42.38,15,0,216.95,0,216.95,8.93,25.23,57.83,0.83,2.17,2.35,1.34,154.51,0,1,0,0,1,216.95,260,216.95,1,167.95,167.95,15,Marketed Lead
85743614,0.7467,1377.03,38.72,9.35,0,419.09,2093.19,0,2093.19,0,0,0,3.75,0.53,0.88,-3.22,467.16,0,1,0,0,1,2093.19,2401.23,1844.19,0,0,0,419.09,Marketed Lead
55178070,0.3677,377.17,241.67,292.96,0,113.85,1025.65,0,1025.65,11.1,28.56,23.56,2,5.13,5.75,3.13,648.48,0,1,1,0,1,1025.65,1621.25,1025.65,2,1025.65,1025.65,113.85,Marketed Lead
55180110,0.8243,925.61,93.83,94.64,8.77,0,1570.85,0,1570.85,0.4,4.27,4.24,3.25,1.87,2.45,-1.38,197.24,0,1,0,0,1,1570.85,2152.9,1122.85,4,2214.45,1321.85,8.77,Marketed Lead
55183300,0.6218,1938.17,312.42,363.35,45.15,457.92,3117,0,3117,17.24,12.45,10.71,3.75,6.37,7.43,2.62,1178.83,0,1,0,0,1,3117,5078.12,3117,2,2917.75,2917.75,503.07,Marketed Lead
55198930,0,-143,67.67,71.34,3.99,0,0,0,0,2.01,35.85,34.01,0.01,1.25,1.77,1.24,143,0,1,0,0,0,0,0,0,3,199,0,3.99,Marketed Lead
55206399,0.64,245.61,72.85,51.36,13.93,0,383.75,0,383.75,3.63,13.38,18.98,0.75,0.9,1.73,0.15,138.15,0,1,0,0,1,383.75,529.25,383.75,1,383.75,383.75,13.93,Marketed Lead
54066441,0,-2007.32,665.2,884.59,206.96,250.57,0,0,0,0,0,0,0,15.5,16.32,15.5,2007.32,0,1,0,0,0,0,0,0,1,0,0,457.53,Marketed Lead
54166213,0,-81.88,47.64,34.24,0,0,0,0,0,0,0,0,0,0.6,1.13,0.6,81.88,0,0,0,0,0,0,0,0,2,0,0,0,Marketed Lead
54172265,0,-146.78,86.86,59.92,0,0,0,0,0,0,0,0,0,1.05,2.07,1.05,146.78,0,1,0,0,0,0,0,0,1,0,0,0,Marketed Lead
54174537,-0.7425,-36.38,51.14,34.24,0,0,49,0,49,0,69.88,104.37,0,0.6,1.22,0.6,85.38,0,1,0,0,0,49,99,49,3,49,49,0,Marketed Lead
54175474,0.7073,263.82,46.23,46.61,16.34,0,373,0,373,4.38,12.5,12.39,1,0.82,1.1,-0.18,109.18,0,1,0,0,1,373,529.25,373,1,373,373,16.34,Marketed Lead
54179135,0.4884,219.48,107.17,122.7,0,0,449.35,0,449.35,0,10.41,9.09,0.75,2.15,2.55,1.4,229.87,0,1,0,0,1,449.35,645.85,449.35,3,1179.2,449.35,0,Marketed Lead
54185383,0,-122.48,91.07,18.28,13.14,0,0,0,0,0,0,0,0,0.88,1.78,0.88,122.48,0,0,1,0,0,0,0,0,0,0,0,13.14,Marketed Lead
54206408,0,-185.81,98.3,87.51,0,0,0,0,0,0,0,0,0,1.53,2.55,1.53,185.81,0,0,1,0,0,0,0,0,0,0,0,0,Marketed Lead
54208397,0,-102.27,78.46,13.32,0,10.49,0,0,0,0,0,0,0,0.23,1.87,0.23,102.27,0,1,0,0,0,0,0,0,1,0,0,10.49,Marketed Lead
54215649,0.7003,485.32,96.39,111.29,0,0,693,0,693,0,0,0,1.25,1.95,2.52,0.7,207.68,0,1,0,0,1,693,977.23,693,1,0,0,0,Marketed Lead
54215667,0,-596.71,161.11,206.4,0,229.2,0,0,0,27.53,24.79,19.35,0,3.62,3.83,3.62,596.71,0,0,0,0,0,0,0,0,2,832.49,0,229.2,Marketed Lead
54217740,-2.0976,-87.05,69.58,58.97,0,0,0,0,0,0,0,0,0,1.03,1.82,1.03,128.55,0,1,0,0,0,0,0,41.5,0,0,0,0,Marketed Lead
54220515,0,-76.13,52.35,23.78,0,0,0,0,0,0,0,0,0,0.42,1.37,0.42,76.13,0,0,0,0,0,0,0,0,1,0,0,0,Marketed Lead
54221283,0.7808,372.32,74.73,29.8,0,0,725.85,0,725.85,0,6.34,15.9,1.25,1.45,1.72,0.2,104.53,0,1,0,0,1,725.85,859.4,476.85,1,470,470,0,Marketed Lead
54223255,-5.6889,-141.26,88.09,78,0,0,0,0,0,0,0,0,0,1.37,2.3,1.37,166.09,0,1,0,0,0,0,0,24.83,0,0,0,0,Marketed Lead
54223556,0.5532,123.91,52.53,47.56,0,0,224,0,224,0,0,0,0.5,0.83,1.25,0.33,100.09,0,1,0,0,1,224,451.73,224,0,0,0,0,Marketed Lead
81261550,0.4826,143.78,64.75,89.41,0,0,347.94,0,297.94,0,30.01,21.73,0.75,1.57,1.57,0.82,154.16,0,1,0,0,1,297.94,409.34,297.94,3,297.94,297.94,0,Marketed Lead
81262193,-1.8004,-67.07,83.28,21.04,0,0,149,0,149,0,0,0,1.89,1.2,1.9,-0.69,104.32,0,1,0,0,1,149,330.59,37.25,2,0,0,0,Marketed Lead
81280516,0.5438,343.92,119.86,138.87,29.8,0,782.45,0,732.45,4.07,18.96,16.36,1.83,2.43,2.9,0.6,288.53,0,1,0,0,1,732.45,839.37,632.45,3,732.45,732.45,29.8,Marketed Lead
81356117,0,-149.17,70.22,78.95,0,0,49,0,0,0,0,0,0,1.38,1.83,1.38,149.17,0,0,0,0,0,0,99,0,0,0,0,0,Marketed Lead
57632037,-0.1763,-17.98,59.11,60.87,0,0,102,0,102,0,0.85,0.83,0.25,1.07,1.53,0.82,119.98,0,1,0,0,1,102,161,102,1,7152,7152,0,Marketed Lead
